Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 24,     Conv, 192, 160, 88, 192, 80, 44, 1,  COL, 0, 0, 14491, 14491, 16, 1, 16,,,,,,,,, L2, DMA, 14490, 14490, 24, 347776, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 192, 725120, 82, 2e, ,,,,,,,, L2, DMA, 10, 10, 576, 5760, 0, 54e80, ,,,,,,,, 
 25,     Conv, 192, 80, 44, 64, 80, 44, 192, ROW_L, 0, 0, 1088, 3564, 4, 1, 4,,,,,,,,, L2, DMA, 2240, 2240, 192, 432256, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 64, 241792, 82, 2e, ,,,,,,,, L2, DMA, 320, 193, 64, 20480, 0, 69880, ,,,,,,,, 
 26,     Conv, 64, 80, 44, 384, 80, 44, 64, ROW_L, 0, 0, 2944, 3564, 2, 1, 2,,,,,,,,, L2, DMA, 5952, 5952, 64, 380928, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 384, 1450112, 82, 3b0ae, ,,,,,,,, L2, DMA, 192, 65, 384, 73728, 0, 5d000, ,,,,,,,, 
 27,     Conv, 384, 80, 44, 384, 80, 44, 1,  COL, 0, 0, 3727, 3727, 8, 1, 8,,,,,,,,, L2, DMA, 3726, 3726, 96, 357760, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 384, 1450112, 82, 3b0ae, ,,,,,,,, L2, DMA, 10, 10, 1152, 11520, 0, 57580, ,,,,,,,, 
 28,     Conv, 384, 80, 44, 64, 80, 44, 384, ROW_L, 0, 0, 512, 3564, 7, 1, 7,,,,,,,,, L2, DMA, 1088, 1088, 384, 420352, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 64, 241792, 82, 3b0ae, ,,,,,,,, L2, DMA, 448, 385, 64, 28672, 0, 66a00, ,,,,,,,, 
 29,  EltWise, 128, 80, 44, 64, 80, 44, 128,  COL, 0, 0, 3564, 3564, 4, 1, 4,,,,,,,,, L2, DMA, 3807, 3807, 32, 243712, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 64, 241792, 82, 2e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 30,     Conv, 64, 80, 44, 384, 80, 44, 64, ROW_L, 0, 0, 2944, 3564, 2, 1, 2,,,,,,,,, L2, DMA, 5952, 5952, 64, 380928, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 384, 1450112, 82, 3b0ae, ,,,,,,,, L2, DMA, 192, 65, 384, 73728, 0, 5d000, MSMC, DMA_ONCE, 192, 65, 384, 73728, 0, 7a1f80, 
 31,     Conv, 384, 80, 44, 384, 80, 44, 1,  COL, 0, 0, 3727, 3727, 8, 1, 8,,,,,,,,, L2, DMA, 3726, 3726, 96, 357760, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 384, 1450112, 82, 3b0ae, ,,,,,,,, L2, DMA, 10, 10, 1152, 11520, 0, 57580, ,,,,,,,, 
 32,     Conv, 384, 80, 44, 64, 80, 44, 384, ROW_L, 0, 0, 512, 3564, 7, 1, 7,,,,,,,,, L2, DMA, 1088, 1088, 384, 420352, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 64, 241792, 82, 3b0ae, ,,,,,,,, L2, DMA, 448, 385, 64, 28672, 0, 66a00, ,,,,,,,, 
 33,  EltWise, 128, 80, 44, 64, 80, 44, 128,  COL, 0, 0, 3564, 3564, 4, 1, 4,,,,,,,,, L2, DMA, 3807, 3807, 32, 243712, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 64, 241792, 82, 2e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
