Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 98,     Conv, 512, 14, 14, 192, 14, 14, 512, ROW_L, 0, 0, 210, 210, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 512, 163840, 0, 0, ,,,,,,,, MSMC, CPU, 320, 241, 192, 61568, 16, a6170, ,,,,,,,, L2, DMA, 576, 513, 192, 110592, 0, 28000, ,,,,,,,, 
 99,     Conv, 512, 14, 14, 192, 14, 14, 512, ROW_L, 0, 0, 210, 210, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 512, 163840, 0, 0, ,,,,,,,, MSMC, CPU, 320, 241, 192, 61568, 16, d6270, ,,,,,,,, L2, DMA, 576, 513, 192, 110592, 0, 28000, ,,,,,,,, 
 100,     Conv, 192, 14, 14, 192, 14, 14, 192, ROW_L, 0, 0, 210, 210, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 192, 61440, 0, 0, ,,,,,,,, MSMC, CPU, 320, 241, 192, 61568, 16, e52f0, ,,,,,,,, L2, DMA, 320, 193, 192, 61440, 0, f000, ,,,,,,,, 
 101,     Conv, 192, 14, 14, 192, 14, 14, 192, ROW_L, 32, 64, 177, 241, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 192, 61440, 0, 0, ,,,,,,,, MSMC, CPU, 320, 241, 192, 61568, 16, d6270, ,,,,,,,, L2, DMA, 1856, 1729, 192, 356352, 0, f000, ,,,,,,,, 
 102,   Concat, 384, 14, 14, 384, 14, 14, 384,  COL, 0, 0, 210, 210, 2, 1, 2,,,,,,,,, L2, DMA, 330, 330, 384, 126720, 0, 0, ,,,,,,,, MSMC, CPU, 320, 241, 384, 123008, 16, e52f0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 103,     Conv, 384, 14, 14, 384, 14, 14, 384, ROW_L, 0, 0, 210, 210, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 384, 122880, 0, 0, ,,,,,,,, MSMC, CPU, 320, 241, 384, 123008, 16, a6170, ,,,,,,,, L2, DMA, 448, 385, 384, 172032, 0, 1e000, ,,,,,,,, 
 104,     Conv, 384, 14, 14, 384, 7, 7, 384, ROW_L, 16, 16, 60, 226, 4, 32, 32,,,,,,,,, L2, DMA, 192, 192, 384, 73856, 0, 0, ,,,,,,,, MSMC, CPU, 50, 50, 384, 19328, 0, 220200, ,,,,,,,, L2, DMA, 3520, 3457, 96, 337920, 0, 12080, MSMC, DMA_ONCE, 3520, 3457, 384, 1351680, 0, 44c200, 
 105,   Concat, 768, 7, 7, 768, 7, 7, 768,  COL, 0, 0, 56, 56, 2, 1, 2,,,,,,,,, L2, DMA, 192, 192, 768, 147456, 0, 0, ,,,,,,,, MSMC, CPU, 192, 73, 768, 147584, 9, d6277, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 106,     Conv, 768, 7, 7, 256, 7, 7, 768, ROW_L, 0, 0, 56, 56, 1, 1, 1,,,,,,,,, L2, DMA, 56, 56, 768, 43008, 0, 0, ,,,,,,,, MSMC, CPU, 192, 73, 256, 49280, 9, c41f7, ,,,,,,,, L2, DMA, 832, 769, 256, 212992, 0, a800, ,,,,,,,, 
 107,     Conv, 768, 7, 7, 256, 7, 7, 768, ROW_L, 0, 0, 56, 56, 1, 1, 1,,,,,,,,, L2, DMA, 56, 56, 768, 43008, 0, 0, ,,,,,,,, MSMC, CPU, 192, 73, 256, 49280, 9, d0277, ,,,,,,,, L2, DMA, 832, 769, 256, 212992, 0, a800, ,,,,,,,, 
 108,     Conv, 256, 7, 7, 256, 7, 7, 256, ROW_L, 0, 0, 56, 56, 1, 1, 1,,,,,,,,, L2, DMA, 56, 56, 256, 14336, 0, 0, ,,,,,,,, MSMC, CPU, 192, 73, 256, 49280, 9, d0277, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 3800, ,,,,,,,, 
 109,     Conv, 256, 7, 7, 256, 7, 7, 256, ROW_L, 18, 64, 9, 73, 1, 4, 4,,,,,,,,, L2, DMA, 192, 192, 256, 49152, 0, 0, ,,,,,,,, MSMC, CPU, 192, 73, 256, 49280, 9, 1702f7, ,,,,,,,, L2, DMA, 2368, 2305, 128, 303104, 0, c000, MSMC, DMA, 2368, 2305, 256, 606208, 0, dc280, 
 110,   Concat, 512, 7, 7, 512, 7, 7, 512,  COL, 0, 0, 56, 56, 2, 1, 2,,,,,,,,, L2, DMA, 192, 192, 512, 98304, 0, 0, ,,,,,,,, MSMC, CPU, 49, 49, 512, 25216, 0, d0200, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 111,     Conv, 512, 7, 7, 512, 7, 7, 512, ROW_L, 0, 0, 49, 49, 1, 1, 1,,,,,,,,, L2, DMA, 49, 49, 512, 25088, 0, 0, ,,,,,,,, MSMC, CPU, 49, 49, 512, 25216, 0, c4180, ,,,,,,,, L2, DMA, 576, 513, 512, 294912, 0, 6200, ,,,,,,,, 
 112,     Conv, 512, 7, 7, 18, 7, 7, 512, ROW_L, 0, 0, 49, 49, 1, 1, 1,,,,,,,,, L2, DMA, 49, 49, 512, 25088, 0, 0, ,,,,,,,, MSMC, CPU, 49, 49, 18, 1024, 0, c4180, ,,,,,,,, L2, DMA, 576, 513, 18, 10368, 0, 6200, ,,,,,,,, 
 115,     Conv, 128, 56, 56, 18, 56, 56, 128, ROW_L, 0, 0, 1728, 3192, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 128, 450560, 0, 0, ,,,,,,,, MSMC, CPU, 3392, 3307, 18, 61184, 58, 46, ,,,,,,,, L2, DMA, 192, 129, 18, 3456, 0, 6e000, ,,,,,,,, 
 114,     Conv, 256, 28, 28, 18, 28, 28, 256, ROW_L, 0, 0, 812, 812, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 256, 212992, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 18, 17408, 30, ef62, ,,,,,,,, L2, DMA, 320, 257, 18, 5760, 0, 34000, ,,,,,,,, 
 113,     Conv, 384, 14, 14, 18, 14, 14, 384, ROW_L, 0, 0, 210, 210, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 384, 122880, 0, 0, ,,,,,,,, MSMC, CPU, 320, 241, 18, 5888, 16, 13370, ,,,,,,,, L2, DMA, 448, 385, 18, 8064, 0, 1e000, ,,,,,,,, 
 116, DetectionOutput, 18, 56, 56, 1, 2105, 1, 18,  COL, 0, 0, 3192, 3192, 1, 1, 1,,,,,,,,, L2, DMA, 3420, 3420, 18, 61568, 0, 0, ,,,,,,,, MSMC, CPU, 8512, 8420, 1, 8704, 0, 14a00, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 117, ODOutputReformat, 1, 2105, 300, 1, 6, 300, 1,  COL, 0, 0, 210500, 631500, 3, 1, 3,,,,,,,,, L2, DMA, 421000, 421000, 1, 421120, 0, 0, MSMC, CPU, 7200, 421000, 1, 7296, 0, 0, DDR, DMA, 7200, 7200, 1, 8320, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 118,     Data, 1, 6, 300, 0, 0, 0, 1, FRAME, 0, 0, 1800, 1800, 1, 1, 1,,,,,,,,, L2, DMA, 8512, 1800, 1, 8704, 0, ffffffff, ,,,,,,,, DDR, CPU, 802816, 0, 0, 2409472, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
